codigo_ibge,ano,indicador,valor,fonte
3550308,2019,km_rodovia_pavimentada,120.5,FONTE-EXEMPLO-B
3550308,2019,pct_domicilios_internet,78.2,FONTE-EXEMPLO-B
3550308,2019,consumo_energia,35000,FONTE-EXEMPLO-B
3550308,2020,km_rodovia_pavimentada,120.5,FONTE-EXEMPLO-B
3550308,2020,pct_domicilios_internet,78.2,FONTE-EXEMPLO-B
3550308,2020,consumo_energia,35000,FONTE-EXEMPLO-B
3304557,2019,km_rodovia_pavimentada,120.5,FONTE-EXEMPLO-B
3304557,2019,pct_domicilios_internet,78.2,FONTE-EXEMPLO-B
3304557,2019,consumo_energia,35000,FONTE-EXEMPLO-B
3304557,2020,km_rodovia_pavimentada,120.5,FONTE-EXEMPLO-B
3304557,2020,pct_domicilios_internet,78.2,FONTE-EXEMPLO-B
3304557,2020,consumo_energia,35000,FONTE-EXEMPLO-B
2304400,2019,km_rodovia_pavimentada,120.5,FONTE-EXEMPLO-B
2304400,2019,pct_domicilios_internet,78.2,FONTE-EXEMPLO-B
2304400,2019,consumo_energia,35000,FONTE-EXEMPLO-B
2304400,2020,km_rodovia_pavimentada,120.5,FONTE-EXEMPLO-B
2304400,2020,pct_domicilios_internet,78.2,FONTE-EXEMPLO-B
2304400,2020,consumo_energia,35000,FONTE-EXEMPLO-B
