codigo_ibge,ano,quantidade,fonte
3550308,2019,100,FONTE-EXEMPLO-A
3550308,2020,105,FONTE-EXEMPLO-A
3550308,2021,97,FONTE-EXEMPLO-A
3304557,2019,90,FONTE-EXEMPLO-A
3304557,2020,95,FONTE-EXEMPLO-A
3304557,2021,87,FONTE-EXEMPLO-A
2304400,2019,80,FONTE-EXEMPLO-A
2304400,2020,85,FONTE-EXEMPLO-A
2304400,2021,77,FONTE-EXEMPLO-A
2927408,2019,70,FONTE-EXEMPLO-A
2927408,2020,75,FONTE-EXEMPLO-A
2927408,2021,67,FONTE-EXEMPLO-A
1501402,2019,60,FONTE-EXEMPLO-A
1501402,2020,65,FONTE-EXEMPLO-A
1501402,2021,57,FONTE-EXEMPLO-A
